[rosmaster.main][INFO] 2024-07-27 16:10:56,002: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2024-07-27 16:10:56,002: Starting ROS Master Node
[xmlrpc][INFO] 2024-07-27 16:10:56,003: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2024-07-27 16:10:56,003: Started XML-RPC server [http://rafzarf:11311/]
[rosmaster.master][INFO] 2024-07-27 16:10:56,003: Master initialized: port[11311], uri[http://rafzarf:11311/]
[xmlrpc][INFO] 2024-07-27 16:10:56,003: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2024-07-27 16:10:56,099: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2024-07-27 16:10:56,100: +PARAM [/roslaunch/uris/host_rafzarf__33179] by /roslaunch
[rosmaster.master][INFO] 2024-07-27 16:10:56,130: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2024-07-27 16:10:56,130: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2024-07-27 16:10:56,137: +SERVICE [/rosout/get_loggers] /rosout http://rafzarf:38985/
[rosmaster.master][INFO] 2024-07-27 16:10:56,138: +SERVICE [/rosout/set_logger_level] /rosout http://rafzarf:38985/
[rosmaster.master][INFO] 2024-07-27 16:10:56,138: +PUB [/rosout_agg] /rosout http://rafzarf:38985/
[rosmaster.master][INFO] 2024-07-27 16:10:56,139: +SUB [/rosout] /rosout http://rafzarf:38985/
[rosmaster.master][INFO] 2024-07-27 16:10:56,380: +PUB [/rosout] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:10:56,381: +SERVICE [/gazebo/get_loggers] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:10:56,381: +SERVICE [/gazebo/set_logger_level] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:10:56,383: +CACHEDPARAM [/rosout_disable_topics_generation] by /gazebo
[rosmaster.master][INFO] 2024-07-27 16:10:56,404: publisherUpdate[/rosout] -> http://rafzarf:38985/ ['http://rafzarf:42307/']
[rosmaster.master][INFO] 2024-07-27 16:10:56,407: publisherUpdate[/rosout] -> http://rafzarf:38985/ ['http://rafzarf:42307/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2024-07-27 16:10:56,655: +PUB [/clock] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:10:56,656: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:10:56,656: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:10:56,657: +SERVICE [/gazebo/delete_model] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:10:56,657: +SERVICE [/gazebo/delete_light] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:10:56,657: +SERVICE [/gazebo/get_model_properties] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:10:56,657: +SERVICE [/gazebo/get_model_state] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:10:56,657: +SERVICE [/gazebo/get_world_properties] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:10:56,658: +SERVICE [/gazebo/get_joint_properties] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:10:56,658: +SERVICE [/gazebo/get_link_properties] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:10:56,658: +SERVICE [/gazebo/get_link_state] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:10:56,658: +SERVICE [/gazebo/get_light_properties] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:10:56,659: +SERVICE [/gazebo/set_light_properties] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:10:56,659: +SERVICE [/gazebo/get_physics_properties] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:10:56,659: +PUB [/gazebo/link_states] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:10:56,659: +PUB [/gazebo/model_states] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:10:56,659: +PUB [/gazebo/performance_metrics] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:10:56,659: +SERVICE [/gazebo/set_link_properties] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:10:56,660: +SERVICE [/gazebo/set_physics_properties] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:10:56,660: +SERVICE [/gazebo/set_model_state] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:10:56,660: +SERVICE [/gazebo/set_model_configuration] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:10:56,660: +SERVICE [/gazebo/set_joint_properties] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:10:56,660: +SERVICE [/gazebo/set_link_state] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:10:56,661: +SUB [/gazebo/set_link_state] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:10:56,662: +SUB [/gazebo/set_model_state] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:10:56,662: +SERVICE [/gazebo/pause_physics] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:10:56,663: +SERVICE [/gazebo/unpause_physics] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:10:56,663: +SERVICE [/gazebo/apply_body_wrench] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:10:56,663: +SERVICE [/gazebo/apply_joint_effort] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:10:56,663: +SERVICE [/gazebo/clear_joint_forces] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:10:56,663: +SERVICE [/gazebo/clear_body_wrenches] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:10:56,664: +SERVICE [/gazebo/reset_simulation] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:10:56,664: +SERVICE [/gazebo/reset_world] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:10:56,664: +PARAM [/use_sim_time] by /gazebo
[rosmaster.master][INFO] 2024-07-27 16:10:56,673: +CACHEDPARAM [/rosout/omit_topics] by /rosout
[rosmaster.master][INFO] 2024-07-27 16:10:56,674: +SERVICE [/gazebo/set_parameters] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:10:56,674: +PUB [/gazebo/parameter_descriptions] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:10:56,675: +PUB [/gazebo/parameter_updates] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:10:56,677: +PARAM [/gazebo/time_step] by /gazebo
[rosmaster.master][INFO] 2024-07-27 16:10:56,677: +PARAM [/gazebo/max_update_rate] by /gazebo
[rosmaster.master][INFO] 2024-07-27 16:10:56,677: +PARAM [/gazebo/gravity_x] by /gazebo
[rosmaster.master][INFO] 2024-07-27 16:10:56,677: +PARAM [/gazebo/gravity_y] by /gazebo
[rosmaster.master][INFO] 2024-07-27 16:10:56,678: +PARAM [/gazebo/gravity_z] by /gazebo
[rosmaster.master][INFO] 2024-07-27 16:10:56,678: +PARAM [/gazebo/auto_disable_bodies] by /gazebo
[rosmaster.master][INFO] 2024-07-27 16:10:56,678: +PARAM [/gazebo/sor_pgs_precon_iters] by /gazebo
[rosmaster.master][INFO] 2024-07-27 16:10:56,678: +PARAM [/gazebo/sor_pgs_iters] by /gazebo
[rosmaster.master][INFO] 2024-07-27 16:10:56,678: +PARAM [/gazebo/sor_pgs_w] by /gazebo
[rosmaster.master][INFO] 2024-07-27 16:10:56,679: +PARAM [/gazebo/sor_pgs_rms_error_tol] by /gazebo
[rosmaster.master][INFO] 2024-07-27 16:10:56,679: +PARAM [/gazebo/cfm] by /gazebo
[rosmaster.master][INFO] 2024-07-27 16:10:56,679: +PARAM [/gazebo/erp] by /gazebo
[rosmaster.master][INFO] 2024-07-27 16:10:56,679: +PARAM [/gazebo/contact_surface_layer] by /gazebo
[rosmaster.master][INFO] 2024-07-27 16:10:56,679: +PARAM [/gazebo/contact_max_correcting_vel] by /gazebo
[rosmaster.master][INFO] 2024-07-27 16:10:56,680: +PARAM [/gazebo/max_contacts] by /gazebo
[rosmaster.master][INFO] 2024-07-27 16:10:56,681: +PARAM [/gazebo/time_step] by /gazebo
[rosmaster.master][INFO] 2024-07-27 16:10:56,681: +PARAM [/gazebo/max_update_rate] by /gazebo
[rosmaster.master][INFO] 2024-07-27 16:10:56,682: +PARAM [/gazebo/gravity_x] by /gazebo
[rosmaster.master][INFO] 2024-07-27 16:10:56,682: +PARAM [/gazebo/gravity_y] by /gazebo
[rosmaster.master][INFO] 2024-07-27 16:10:56,682: +PARAM [/gazebo/gravity_z] by /gazebo
[rosmaster.master][INFO] 2024-07-27 16:10:56,682: +PARAM [/gazebo/auto_disable_bodies] by /gazebo
[rosmaster.master][INFO] 2024-07-27 16:10:56,682: +PARAM [/gazebo/sor_pgs_precon_iters] by /gazebo
[rosmaster.master][INFO] 2024-07-27 16:10:56,682: +PARAM [/gazebo/sor_pgs_iters] by /gazebo
[rosmaster.master][INFO] 2024-07-27 16:10:56,683: +PARAM [/gazebo/sor_pgs_w] by /gazebo
[rosmaster.master][INFO] 2024-07-27 16:10:56,683: +PARAM [/gazebo/sor_pgs_rms_error_tol] by /gazebo
[rosmaster.master][INFO] 2024-07-27 16:10:56,683: +PARAM [/gazebo/cfm] by /gazebo
[rosmaster.master][INFO] 2024-07-27 16:10:56,683: +PARAM [/gazebo/erp] by /gazebo
[rosmaster.master][INFO] 2024-07-27 16:10:56,683: +PARAM [/gazebo/contact_surface_layer] by /gazebo
[rosmaster.master][INFO] 2024-07-27 16:10:56,684: +PARAM [/gazebo/contact_max_correcting_vel] by /gazebo
[rosmaster.master][INFO] 2024-07-27 16:10:56,684: +PARAM [/gazebo/max_contacts] by /gazebo
[rosmaster.master][INFO] 2024-07-27 16:11:57,732: -SUB [/gazebo/set_link_state] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:11:57,733: -SUB [/gazebo/set_model_state] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:11:57,738: -PUB [/clock] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:11:57,740: -PUB [/gazebo/link_states] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:11:57,740: -PUB [/gazebo/model_states] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:11:57,741: -PUB [/gazebo/performance_metrics] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:11:57,742: -SERVICE [/gazebo/spawn_sdf_model] /gazebo rosrpc://rafzarf:46071
[rosmaster.master][INFO] 2024-07-27 16:11:57,743: -SERVICE [/gazebo/spawn_urdf_model] /gazebo rosrpc://rafzarf:46071
[rosmaster.master][INFO] 2024-07-27 16:11:57,743: -SERVICE [/gazebo/delete_model] /gazebo rosrpc://rafzarf:46071
[rosmaster.master][INFO] 2024-07-27 16:11:57,744: -SERVICE [/gazebo/delete_light] /gazebo rosrpc://rafzarf:46071
[rosmaster.master][INFO] 2024-07-27 16:11:57,745: -SERVICE [/gazebo/get_model_properties] /gazebo rosrpc://rafzarf:46071
[rosmaster.master][INFO] 2024-07-27 16:11:57,746: -SERVICE [/gazebo/get_model_state] /gazebo rosrpc://rafzarf:46071
[rosmaster.master][INFO] 2024-07-27 16:11:57,747: -SERVICE [/gazebo/get_world_properties] /gazebo rosrpc://rafzarf:46071
[rosmaster.master][INFO] 2024-07-27 16:11:57,748: -SERVICE [/gazebo/get_joint_properties] /gazebo rosrpc://rafzarf:46071
[rosmaster.master][INFO] 2024-07-27 16:11:57,748: -SERVICE [/gazebo/get_link_properties] /gazebo rosrpc://rafzarf:46071
[rosmaster.master][INFO] 2024-07-27 16:11:57,749: -SERVICE [/gazebo/get_link_state] /gazebo rosrpc://rafzarf:46071
[rosmaster.master][INFO] 2024-07-27 16:11:57,749: -SERVICE [/gazebo/get_light_properties] /gazebo rosrpc://rafzarf:46071
[rosmaster.master][INFO] 2024-07-27 16:11:57,750: -SERVICE [/gazebo/set_light_properties] /gazebo rosrpc://rafzarf:46071
[rosmaster.master][INFO] 2024-07-27 16:11:57,750: -SERVICE [/gazebo/get_physics_properties] /gazebo rosrpc://rafzarf:46071
[rosmaster.master][INFO] 2024-07-27 16:11:57,751: -SERVICE [/gazebo/set_link_properties] /gazebo rosrpc://rafzarf:46071
[rosmaster.master][INFO] 2024-07-27 16:11:57,751: -SERVICE [/gazebo/set_physics_properties] /gazebo rosrpc://rafzarf:46071
[rosmaster.master][INFO] 2024-07-27 16:11:57,752: -SERVICE [/gazebo/set_model_state] /gazebo rosrpc://rafzarf:46071
[rosmaster.master][INFO] 2024-07-27 16:11:57,753: -SERVICE [/gazebo/set_model_configuration] /gazebo rosrpc://rafzarf:46071
[rosmaster.master][INFO] 2024-07-27 16:11:57,754: -SERVICE [/gazebo/set_joint_properties] /gazebo rosrpc://rafzarf:46071
[rosmaster.master][INFO] 2024-07-27 16:11:57,755: -SERVICE [/gazebo/set_link_state] /gazebo rosrpc://rafzarf:46071
[rosmaster.master][INFO] 2024-07-27 16:11:57,756: -SERVICE [/gazebo/pause_physics] /gazebo rosrpc://rafzarf:46071
[rosmaster.master][INFO] 2024-07-27 16:11:57,756: -SERVICE [/gazebo/unpause_physics] /gazebo rosrpc://rafzarf:46071
[rosmaster.master][INFO] 2024-07-27 16:11:57,757: -SERVICE [/gazebo/apply_body_wrench] /gazebo rosrpc://rafzarf:46071
[rosmaster.master][INFO] 2024-07-27 16:11:57,758: -SERVICE [/gazebo/apply_joint_effort] /gazebo rosrpc://rafzarf:46071
[rosmaster.master][INFO] 2024-07-27 16:11:57,758: -SERVICE [/gazebo/clear_joint_forces] /gazebo rosrpc://rafzarf:46071
[rosmaster.master][INFO] 2024-07-27 16:11:57,759: -SERVICE [/gazebo/clear_body_wrenches] /gazebo rosrpc://rafzarf:46071
[rosmaster.master][INFO] 2024-07-27 16:11:57,760: -SERVICE [/gazebo/reset_simulation] /gazebo rosrpc://rafzarf:46071
[rosmaster.master][INFO] 2024-07-27 16:11:57,760: -SERVICE [/gazebo/reset_world] /gazebo rosrpc://rafzarf:46071
[rosmaster.master][INFO] 2024-07-27 16:11:57,762: -PUB [/gazebo/parameter_descriptions] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:11:57,762: -PUB [/gazebo/parameter_updates] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:11:57,762: -SERVICE [/gazebo/set_parameters] /gazebo rosrpc://rafzarf:46071
[rosmaster.master][INFO] 2024-07-27 16:11:57,893: -PUB [/rosout] /gazebo http://rafzarf:42307/
[rosmaster.master][INFO] 2024-07-27 16:11:57,894: -SERVICE [/gazebo/get_loggers] /gazebo rosrpc://rafzarf:46071
[rosmaster.master][INFO] 2024-07-27 16:11:57,894: -SERVICE [/gazebo/set_logger_level] /gazebo rosrpc://rafzarf:46071
