[rosmaster.main][INFO] 2024-07-22 14:44:18,901: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2024-07-22 14:44:18,901: Starting ROS Master Node
[xmlrpc][INFO] 2024-07-22 14:44:18,907: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2024-07-22 14:44:18,907: Started XML-RPC server [http://rafzarf:11311/]
[rosmaster.master][INFO] 2024-07-22 14:44:18,907: Master initialized: port[11311], uri[http://rafzarf:11311/]
[xmlrpc][INFO] 2024-07-22 14:44:18,908: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2024-07-22 14:44:18,932: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2024-07-22 14:44:18,933: +PARAM [/roslaunch/uris/host_rafzarf__44603] by /roslaunch
[rosmaster.master][INFO] 2024-07-22 14:44:18,956: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2024-07-22 14:44:18,956: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2024-07-22 14:44:18,962: +SERVICE [/rosout/get_loggers] /rosout http://rafzarf:33713/
[rosmaster.master][INFO] 2024-07-22 14:44:18,962: +SERVICE [/rosout/set_logger_level] /rosout http://rafzarf:33713/
[rosmaster.master][INFO] 2024-07-22 14:44:18,963: +PUB [/rosout_agg] /rosout http://rafzarf:33713/
[rosmaster.master][INFO] 2024-07-22 14:44:18,964: +SUB [/rosout] /rosout http://rafzarf:33713/
[rosmaster.master][INFO] 2024-07-22 14:44:24,270: -PUB [/rosout_agg] /rosout http://rafzarf:33713/
[rosmaster.master][INFO] 2024-07-22 14:44:24,271: -SUB [/rosout] /rosout http://rafzarf:33713/
[rosmaster.master][INFO] 2024-07-22 14:44:24,271: -SERVICE [/rosout/get_loggers] /rosout rosrpc://rafzarf:58867
[rosmaster.master][INFO] 2024-07-22 14:44:24,271: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://rafzarf:58867
[rosmaster.main][INFO] 2024-07-22 14:44:24,329: keyboard interrupt, will exit
[rosmaster.main][INFO] 2024-07-22 14:44:24,329: stopping master...
[rospy.core][INFO] 2024-07-22 14:44:24,330: signal_shutdown [atexit]
