[rosmaster.main][INFO] 2024-07-26 23:30:28,922: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2024-07-26 23:30:28,923: Starting ROS Master Node
[xmlrpc][INFO] 2024-07-26 23:30:28,928: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2024-07-26 23:30:28,928: Started XML-RPC server [http://rafzarf:11311/]
[rosmaster.master][INFO] 2024-07-26 23:30:28,929: Master initialized: port[11311], uri[http://rafzarf:11311/]
[xmlrpc][INFO] 2024-07-26 23:30:28,929: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2024-07-26 23:30:28,959: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2024-07-26 23:30:28,959: +PARAM [/roslaunch/uris/host_rafzarf__44071] by /roslaunch
[rosmaster.master][INFO] 2024-07-26 23:30:28,977: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2024-07-26 23:30:28,977: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2024-07-26 23:30:28,984: +SERVICE [/rosout/get_loggers] /rosout http://rafzarf:43473/
[rosmaster.master][INFO] 2024-07-26 23:30:28,985: +SERVICE [/rosout/set_logger_level] /rosout http://rafzarf:43473/
[rosmaster.master][INFO] 2024-07-26 23:30:28,985: +PUB [/rosout_agg] /rosout http://rafzarf:43473/
[rosmaster.master][INFO] 2024-07-26 23:30:28,986: +SUB [/rosout] /rosout http://rafzarf:43473/
[rosmaster.master][INFO] 2024-07-26 23:30:58,630: -PUB [/rosout_agg] /rosout http://rafzarf:43473/
[rosmaster.master][INFO] 2024-07-26 23:30:58,630: -SUB [/rosout] /rosout http://rafzarf:43473/
[rosmaster.master][INFO] 2024-07-26 23:30:58,631: -SERVICE [/rosout/get_loggers] /rosout rosrpc://rafzarf:57307
[rosmaster.master][INFO] 2024-07-26 23:30:58,631: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://rafzarf:57307
[rosmaster.main][INFO] 2024-07-26 23:30:58,727: keyboard interrupt, will exit
[rosmaster.main][INFO] 2024-07-26 23:30:58,727: stopping master...
[rospy.core][INFO] 2024-07-26 23:30:58,727: signal_shutdown [atexit]
