

1722010583.240403651  Node Startup
1722010612.789465665 INFO /joint_state_publisher_gui [__init__.py:179(JointStatePublisherGui.center)] [topics: /rosout, /joint_states] Centering
1722010621.222195386 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1722010621.657620668 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1722010622.116382360 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1722010622.498032331 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1722010622.944063186 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1722010623.385567188 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1722010623.760049343 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1722010624.213912010 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1722010624.711859464 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1722010625.250260591 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1722010625.835541725 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1722010627.020766973 INFO /joint_state_publisher_gui [__init__.py:179(JointStatePublisherGui.center)] [topics: /rosout, /joint_states] Centering
1722010628.641831398 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1722010629.023702859 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1722010629.378302574 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1722010629.731919050 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1722010630.005881786 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1722010630.301947116 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1722010630.556106567 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1722010630.776436567 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1722010630.983837366 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1722010631.163805007 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
