

1722051448.597645881  Node Startup
1722051468.766690054 WARN /rviz [/build/urdfdom-VnCcob/urdfdom-1.0.4+ds/urdf_parser/src/model.cpp:84()] [topics: /rosout, /initialpose, /goal] link 'bottom_link' material 'Brown' undefined.
1722051468.766703147 WARN /rviz [/build/urdfdom-VnCcob/urdfdom-1.0.4+ds/urdf_parser/src/model.cpp:84()] [topics: /rosout, /initialpose, /goal] link 'bottom_link' material 'Brown' undefined.
1722051468.766910407 ERROR /rviz [/build/urdfdom-VnCcob/urdfdom-1.0.4+ds/urdf_parser/src/link.cpp:227()] [topics: /rosout, /initialpose, /goal] Geometry tag contains no child element.
1722051468.766924169 ERROR /rviz [/build/urdfdom-VnCcob/urdfdom-1.0.4+ds/urdf_parser/src/link.cpp:453()] [topics: /rosout, /initialpose, /goal] Could not parse visual element for Link [grasping_frame]
1722051468.907181501 INFO /joint_state_publisher_gui [__init__.py:179(JointStatePublisherGui.center)] [topics: /rosout, /joint_states] Centering
1722051478.534674644 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1722051479.100377321 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1722051479.620199918 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1722051480.302200317 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1722051480.822954893 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1722051481.379185199 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1722051482.024485111 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1722051483.361280202 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1722051519.122058391 INFO /joint_state_publisher_gui [__init__.py:179(JointStatePublisherGui.center)] [topics: /rosout, /joint_states] Centering
1722051521.657082557 INFO /joint_state_publisher_gui [__init__.py:179(JointStatePublisherGui.center)] [topics: /rosout, /joint_states] Centering
1722051522.334969043 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1722051522.855013847 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1722051523.364212274 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1722051523.861164808 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1722051542.550130844 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1722051543.188633441 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
