[rosmaster.main][INFO] 2024-07-22 21:56:26,349: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2024-07-22 21:56:26,349: Starting ROS Master Node
[xmlrpc][INFO] 2024-07-22 21:56:26,350: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2024-07-22 21:56:26,350: Started XML-RPC server [http://rafzarf:11311/]
[rosmaster.master][INFO] 2024-07-22 21:56:26,350: Master initialized: port[11311], uri[http://rafzarf:11311/]
[xmlrpc][INFO] 2024-07-22 21:56:26,350: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2024-07-22 21:56:26,392: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2024-07-22 21:56:26,393: +PARAM [/roslaunch/uris/host_rafzarf__42703] by /roslaunch
[rosmaster.master][INFO] 2024-07-22 21:56:26,413: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2024-07-22 21:56:26,413: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2024-07-22 21:56:26,420: +SERVICE [/rosout/get_loggers] /rosout http://rafzarf:44421/
[rosmaster.master][INFO] 2024-07-22 21:56:26,421: +SERVICE [/rosout/set_logger_level] /rosout http://rafzarf:44421/
[rosmaster.master][INFO] 2024-07-22 21:56:26,421: +PUB [/rosout_agg] /rosout http://rafzarf:44421/
[rosmaster.master][INFO] 2024-07-22 21:56:26,422: +SUB [/rosout] /rosout http://rafzarf:44421/
[rosmaster.master][INFO] 2024-07-22 21:56:48,557: -PUB [/rosout_agg] /rosout http://rafzarf:44421/
[rosmaster.master][INFO] 2024-07-22 21:56:48,557: -SUB [/rosout] /rosout http://rafzarf:44421/
[rosmaster.master][INFO] 2024-07-22 21:56:48,558: -SERVICE [/rosout/get_loggers] /rosout rosrpc://rafzarf:59953
[rosmaster.master][INFO] 2024-07-22 21:56:48,558: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://rafzarf:59953
[rosmaster.main][INFO] 2024-07-22 21:56:48,637: keyboard interrupt, will exit
[rosmaster.main][INFO] 2024-07-22 21:56:48,637: stopping master...
[rospy.core][INFO] 2024-07-22 21:56:48,638: signal_shutdown [atexit]
