

1721836283.275654532  Node Startup
1721836289.721852302 INFO /joint_state_publisher_gui [__init__.py:179(JointStatePublisherGui.center)] [topics: /rosout, /joint_states] Centering
1721836318.943041324 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1721836319.487845420 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1721836319.962494134 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1721836320.512920618 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1721836320.913157224 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1721836321.292868137 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1721836321.800863265 INFO /joint_state_publisher_gui [__init__.py:179(JointStatePublisherGui.center)] [topics: /rosout, /joint_states] Centering
1721836323.155418634 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1721836323.689117908 INFO /joint_state_publisher_gui [__init__.py:179(JointStatePublisherGui.center)] [topics: /rosout, /joint_states] Centering
1721839414.283259153 INFO /joint_state_publisher_gui [__init__.py:179(JointStatePublisherGui.center)] [topics: /rosout, /joint_states] Centering
1721839442.213612556 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1721839442.728835344 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1721839443.211593389 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1721839443.599131345 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1721839444.016891717 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1721839444.387189865 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1721839444.633273601 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1721839444.879392147 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1721839445.155197620 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1721839445.463118791 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1721839446.066691398 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1721839446.496555566 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1721839446.869748830 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1721839447.273125648 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1721839447.635792970 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
1721839448.138360738 INFO /joint_state_publisher_gui [__init__.py:213(JointStatePublisherGui.randomize)] [topics: /rosout, /joint_states] Randomizing
