[rosmaster.main][INFO] 2024-07-22 14:40:03,136: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2024-07-22 14:40:03,136: Starting ROS Master Node
[xmlrpc][INFO] 2024-07-22 14:40:03,137: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2024-07-22 14:40:03,137: Started XML-RPC server [http://rafzarf:11311/]
[rosmaster.master][INFO] 2024-07-22 14:40:03,137: Master initialized: port[11311], uri[http://rafzarf:11311/]
[xmlrpc][INFO] 2024-07-22 14:40:03,137: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2024-07-22 14:40:03,169: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2024-07-22 14:40:03,169: +PARAM [/roslaunch/uris/host_rafzarf__36789] by /roslaunch
[rosmaster.master][INFO] 2024-07-22 14:40:03,188: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2024-07-22 14:40:03,188: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2024-07-22 14:40:03,195: +SERVICE [/rosout/get_loggers] /rosout http://rafzarf:33325/
[rosmaster.master][INFO] 2024-07-22 14:40:03,196: +SERVICE [/rosout/set_logger_level] /rosout http://rafzarf:33325/
[rosmaster.master][INFO] 2024-07-22 14:40:03,196: +PUB [/rosout_agg] /rosout http://rafzarf:33325/
[rosmaster.master][INFO] 2024-07-22 14:40:03,197: +SUB [/rosout] /rosout http://rafzarf:33325/
[rosmaster.master][INFO] 2024-07-22 14:44:17,239: -PUB [/rosout_agg] /rosout http://rafzarf:33325/
[rosmaster.master][INFO] 2024-07-22 14:44:17,239: -SUB [/rosout] /rosout http://rafzarf:33325/
[rosmaster.master][INFO] 2024-07-22 14:44:17,239: -SERVICE [/rosout/get_loggers] /rosout rosrpc://rafzarf:54949
[rosmaster.master][INFO] 2024-07-22 14:44:17,240: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://rafzarf:54949
[rosmaster.main][INFO] 2024-07-22 14:44:17,314: keyboard interrupt, will exit
[rosmaster.main][INFO] 2024-07-22 14:44:17,315: stopping master...
[rospy.core][INFO] 2024-07-22 14:44:17,315: signal_shutdown [atexit]
