[rosmaster.main][INFO] 2024-07-26 23:32:30,264: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2024-07-26 23:32:30,264: Starting ROS Master Node
[xmlrpc][INFO] 2024-07-26 23:32:30,264: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2024-07-26 23:32:30,265: Started XML-RPC server [http://rafzarf:11311/]
[rosmaster.master][INFO] 2024-07-26 23:32:30,265: Master initialized: port[11311], uri[http://rafzarf:11311/]
[xmlrpc][INFO] 2024-07-26 23:32:30,265: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2024-07-26 23:32:30,300: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2024-07-26 23:32:30,300: +PARAM [/roslaunch/uris/host_rafzarf__33063] by /roslaunch
[rosmaster.master][INFO] 2024-07-26 23:32:30,321: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2024-07-26 23:32:30,321: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2024-07-26 23:32:30,328: +SERVICE [/rosout/get_loggers] /rosout http://rafzarf:39709/
[rosmaster.master][INFO] 2024-07-26 23:32:30,328: +SERVICE [/rosout/set_logger_level] /rosout http://rafzarf:39709/
[rosmaster.master][INFO] 2024-07-26 23:32:30,329: +PUB [/rosout_agg] /rosout http://rafzarf:39709/
[rosmaster.master][INFO] 2024-07-26 23:32:30,330: +SUB [/rosout] /rosout http://rafzarf:39709/
[rosmaster.master][INFO] 2024-07-26 23:32:52,561: -PUB [/rosout_agg] /rosout http://rafzarf:39709/
[rosmaster.master][INFO] 2024-07-26 23:32:52,562: -SUB [/rosout] /rosout http://rafzarf:39709/
[rosmaster.master][INFO] 2024-07-26 23:32:52,562: -SERVICE [/rosout/get_loggers] /rosout rosrpc://rafzarf:33861
[rosmaster.master][INFO] 2024-07-26 23:32:52,562: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://rafzarf:33861
[rosmaster.main][INFO] 2024-07-26 23:32:52,645: keyboard interrupt, will exit
[rosmaster.main][INFO] 2024-07-26 23:32:52,645: stopping master...
[rospy.core][INFO] 2024-07-26 23:32:52,646: signal_shutdown [atexit]
