[rosmaster.main][INFO] 2024-07-27 00:52:27,433: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2024-07-27 00:52:27,433: Starting ROS Master Node
[xmlrpc][INFO] 2024-07-27 00:52:27,436: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2024-07-27 00:52:27,436: Started XML-RPC server [http://rafzarf:11311/]
[rosmaster.master][INFO] 2024-07-27 00:52:27,436: Master initialized: port[11311], uri[http://rafzarf:11311/]
[xmlrpc][INFO] 2024-07-27 00:52:27,437: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2024-07-27 00:52:27,475: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2024-07-27 00:52:27,475: +PARAM [/roslaunch/uris/host_rafzarf__37655] by /roslaunch
[rosmaster.master][INFO] 2024-07-27 00:52:27,495: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2024-07-27 00:52:27,495: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2024-07-27 00:52:27,507: +SERVICE [/rosout/get_loggers] /rosout http://rafzarf:44221/
[rosmaster.master][INFO] 2024-07-27 00:52:27,508: +SERVICE [/rosout/set_logger_level] /rosout http://rafzarf:44221/
[rosmaster.master][INFO] 2024-07-27 00:52:27,508: +PUB [/rosout_agg] /rosout http://rafzarf:44221/
[rosmaster.master][INFO] 2024-07-27 00:52:27,510: +SUB [/rosout] /rosout http://rafzarf:44221/
[rosmaster.master][INFO] 2024-07-27 00:54:09,813: -PUB [/rosout_agg] /rosout http://rafzarf:44221/
[rosmaster.master][INFO] 2024-07-27 00:54:09,813: -SUB [/rosout] /rosout http://rafzarf:44221/
[rosmaster.master][INFO] 2024-07-27 00:54:09,814: -SERVICE [/rosout/get_loggers] /rosout rosrpc://rafzarf:59719
[rosmaster.master][INFO] 2024-07-27 00:54:09,814: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://rafzarf:59719
[rosmaster.main][INFO] 2024-07-27 00:54:09,893: keyboard interrupt, will exit
[rosmaster.main][INFO] 2024-07-27 00:54:09,893: stopping master...
[rospy.core][INFO] 2024-07-27 00:54:09,894: signal_shutdown [atexit]
